T, P
1, 0.04677
2, 0.04677
3, 0.04677
4, 0.04677
5, 0.04677
6, 0.04677
7, 0.04677
8, 0.04677
9, 0.04677
10, 0.04677
11, 0.04677
12, 0.04677
13, 0.04677
14, 0.04677
15, 0.04677
16, 0.04677
17, 0.04677
18, 0.04677
19, 0.04677
20, 0.04677
21, 0.04677
22, 0.04677
23, 0.04677
24, 0.04677
25, 0.04677
26, 0.04677
27, 0.04677
28, 0.04677
29, 0.04677
30, 0.04677
31, 0.04677
32, 0.04677
33, 0.04677
34, 0.04677
35, 0.04677
36, 0.04677
37, 0.04677
38, 0.04677
39, 0.04677
40, 0.04677
41, 0.04677
42, 0.04677
43, 0.04677
44, 0.04677
45, 0.04677
46, 0.04677
47, 0.04677
48, 0.04677
49, 0.04677
50, 0.04677
51, 0.04677
52, 0.04677
53, 0.04677
54, 0.04677
55, 0.04677
56, 0.04677
57, 0.04677
58, 0.04677
59, 0.04677
60, 0.04677
61, 0.04677
62, 0.04677
63, 0.04677
64, 0.04677
65, 0.04677
66, 0.04677
67, 0.04677
68, 0.04677
69, 0.04677
70, 0.04677
71, 0.04677
72, 0.04677
73, 0.04677
74, 0.04677
75, 0.04677
76, 0.04677
77, 0.04677
78, 0.04677
79, 0.04677
80, 0.04677
81, 0.04677
82, 0.04677
83, 0.04677
84, 0.04677
85, 0.04677
86, 0.04677
87, 0.04677
88, 0.04677
89, 0.04677
90, 0.04677
91, 0.04677
92, 0.04677
93, 0.04677
94, 0.04677
95, 0.04677
96, 0.04677
97, 0.04677
98, 0.04677
99, 0.04677
100, 0.04677
101, 0.04677
102, 0.04677
103, 0.04677
104, 0.04677
105, 0.04677
106, 0.04677
107, 0.04677
108, 0.04677
109, 0.04677
110, 0.04677
111, 0.04677
112, 0.04677
113, 0.04677
114, 0.04677
115, 0.04677
116, 0.04677
117, 0.04677
118, 0.04677
119, 0.04677
120, 0.04677
121, 0.04677
122, 0.04677
123, 0.04677
124, 0.04677
125, 0.04677
126, 0.04677
127, 0.04677
128, 0.04677
129, 0.04677
130, 0.04677
131, 0.04677
132, 0.04677
133, 0.04677
134, 0.04677
135, 0.04677
136, 0.04677
137, 0.04677
138, 0.04677
139, 0.04677
140, 0.04677
141, 0.04677
142, 0.04677
143, 0.04677
144, 0.04677
145, 0.04677
146, 0.04677
147, 0.04677
148, 0.04677
149, 0.04677
150, 0.04677
151, 0.04677
152, 0.04677
153, 0.04677
154, 0.04677
155, 0.04677
156, 0.04677
157, 0.04677
158, 0.04677
159, 0.04677
160, 0.04677
161, 0.04677
162, 0.04677
163, 0.04677
164, 0.04677
165, 0.04677
166, 0.04677
167, 0.04677
168, 0.04677
169, 0.04677
170, 0.04677
171, 0.04677
172, 0.04677
173, 0.04677
174, 0.04677
175, 0.04677
176, 0.04677
177, 0.04677
178, 0.04677
179, 0.04677
180, 0.04677
181, 0.04677
182, 0.04677
183, 0.04677
184, 0.04677
185, 0.04677
186, 0.04677
187, 0.04677
188, 0.04677
189, 0.04677
190, 0.04677
191, 0.04677
192, 0.04677
193, 0.04677
194, 0.04677
195, 0.04677
196, 0.04677
197, 0.04677
198, 0.04677
199, 0.04677
200, 0.04677
201, 0.04677
202, 0.04677
203, 0.04677
204, 0.04677
205, 0.04677
206, 0.04677
207, 0.04677
208, 0.04677
209, 0.04677
210, 0.04677
211, 0.04677
212, 0.04677
213, 0.04677
214, 0.04677
215, 0.04677
216, 0.04677
217, 0.04677
218, 0.04677
219, 0.04677
220, 0.04677
221, 0.04677
222, 0.04677
223, 0.04677
224, 0.04677
225, 0.04677
226, 0.04677
227, 0.04677
228, 0.04677
229, 0.04677
230, 0.04677
231, 0.04677
232, 0.04677
233, 0.04677
234, 0.04677
235, 0.04677
236, 0.04677
237, 0.04677
238, 0.04677
239, 0.04677
240, 0.04677
241, 0.04677
242, 0.04677
243, 0.04677
244, 0.04677
245, 0.04677
246, 0.04677
247, 0.04677
248, 0.04677
249, 0.04677
250, 0.04677
251, 0.04677
252, 0.04677
253, 0.04677
254, 0.04677
255, 0.04677
256, 0.04677
257, 0.04677
258, 0.04677
259, 0.04677
260, 0.04677
261, 0.04677
262, 0.04677
263, 0.04677
264, 0.04677
265, 0.04677
266, 0.04677
267, 0.04677
268, 0.04677
269, 0.04677
270, 0.04677
271, 0.04677
272, 0.04677
273, 0.04677
274, 0.04677
275, 0.04677
276, 0.04677
277, 0.04677
278, 0.04677
279, 0.04677
280, 0.04677
281, 0.04677
282, 0.04677
283, 0.04677
284, 0.04677
285, 0.04677
286, 0.04677
287, 0.04677
288, 0.04677
289, 0.04677
290, 0.04677
291, 0.04677
292, 0.04677
293, 0.04677
294, 0.04677
295, 0.04677
296, 0.04677
297, 0.04677
298, 0.04677
299, 0.04677
300, 0.04677
301, 0.04677
302, 0.04677
303, 0.04677
304, 0.04677
305, 0.04677
306, 0.04677
307, 0.04677
308, 0.04677
309, 0.04677
310, 0.04677
311, 0.04677
312, 0.04677
313, 0.04677
314, 0.04677
315, 0.04677
316, 0.04677
317, 0.04677
318, 0.04677
319, 0.04677
320, 0.04677
321, 0.04677
322, 0.04677
323, 0.04677
324, 0.04677
325, 0.04677
326, 0.04677
327, 0.04677
328, 0.04677
329, 0.04677
330, 0.04677
331, 0.04677
332, 0.04677
333, 0.04677
334, 0.04677
335, 0.04677
336, 0.04677
337, 0.04677
338, 0.04677
339, 0.04677
340, 0.04677
341, 0.04677
342, 0.04677
343, 0.04677
344, 0.04677
345, 0.04677
346, 0.04677
347, 0.04677
348, 0.04677
349, 0.04677
350, 0.04677
351, 0.04677
352, 0.04677
353, 0.04677
354, 0.04677
355, 0.04677
356, 0.04677
357, 0.04677
358, 0.04677
359, 0.04677
360, 0.04677
361, 0.04677
362, 0.04677
363, 0.04677
364, 0.04677
365, 0.04677
366, 0.04677
367, 0.04677
368, 0.04677
369, 0.04677
370, 0.04677
371, 0.04677
372, 0.04677
373, 0.04677
374, 0.04677
375, 0.04677
376, 0.04677
377, 0.04677
378, 0.04677
379, 0.04677
380, 0.04677
381, 0.04677
382, 0.04677
383, 0.04677
384, 0.04677
385, 0.04677
386, 0.04677
387, 0.04677
388, 0.04677
389, 0.04677
390, 0.04677
391, 0.04677
392, 0.04677
393, 0.04677
394, 0.04677
395, 0.04677
396, 0.04677
397, 0.04677
398, 0.04677
399, 0.04677
400, 0.04677
401, 0.04677
402, 0.04677
403, 0.04677
404, 0.04677
405, 0.04677
406, 0.04677
407, 0.04677
408, 0.04677
409, 0.04677
410, 0.04677
411, 0.04677
412, 0.04677
413, 0.04677
414, 0.04677
415, 0.04677
416, 0.04677
417, 0.04677
418, 0.04677
419, 0.04677
420, 0.04677
421, 0.04677
422, 0.04677
423, 0.04677
424, 0.04677
425, 0.04677
426, 0.04677
427, 0.04677
428, 0.04677
429, 0.04677
430, 0.04677
431, 0.04677
432, 0.04677
433, 0.04677
434, 0.04677
435, 0.04677
436, 0.04677
437, 0.04677
438, 0.04677
439, 0.04677
440, 0.04677
441, 0.04677
442, 0.04677
443, 0.04677
444, 0.04677
445, 0.04677
446, 0.04677
447, 0.04677
448, 0.04677
449, 0.04677
450, 0.04677
451, 0.04677
452, 0.04677
453, 0.04677
454, 0.04677
455, 0.04677
456, 0.04677
457, 0.04677
458, 0.04677
459, 0.04677
460, 0.04677
461, 0.04677
462, 0.04677
463, 0.04677
464, 0.04677
465, 0.04677
466, 0.04677
467, 0.04677
468, 0.04677
469, 0.04677
470, 0.04677
471, 0.04677
472, 0.04677
473, 0.04677
474, 0.04677
475, 0.04677
476, 0.04677
477, 0.04677
478, 0.04677
479, 0.04677
480, 0.04677
481, 0.04677
482, 0.04677
483, 0.04677
484, 0.04677
485, 0.04677
486, 0.04677
487, 0.04677
488, 0.04677
489, 0.04677
490, 0.04677
491, 0.04677
492, 0.04677
493, 0.04677
494, 0.04677
495, 0.04677
496, 0.04677
497, 0.04677
498, 0.04677
499, 0.04677
500, 0.04677
501, 0.04677
502, 0.04677
503, 0.04677
504, 0.04677
505, 0.04677
506, 0.04677
507, 0.04677
508, 0.04677
509, 0.04677
510, 0.04677
511, 0.04677
512, 0.04677
513, 0.04677
514, 0.04677
515, 0.04677
516, 0.04677
517, 0.04677
518, 0.04677
519, 0.04677
520, 0.04677
521, 0.04677
522, 0.04677
523, 0.04677
524, 0.04677
525, 0.04677
526, 0.04677
527, 0.04677
528, 0.04677
529, 0.04677
530, 0.04677
531, 0.04677
532, 0.04677
533, 0.04677
534, 0.04677
535, 0.04677
536, 0.04677
537, 0.04677
538, 0.04677
539, 0.04677
540, 0.04677
541, 0.04677
542, 0.04677
543, 0.04677
544, 0.04677
545, 0.04677
546, 0.04677
547, 0.04677
548, 0.04677
549, 0.04677
550, 0.04677
551, 0.04677
552, 0.04677
553, 0.04677
554, 0.04677
555, 0.04677
556, 0.04677
557, 0.04677
558, 0.04677
559, 0.04677
560, 0.04677
561, 0.04677
562, 0.04677
563, 0.04677
564, 0.04677
565, 0.04677
566, 0.04677
567, 0.04677
568, 0.04677
569, 0.04677
570, 0.04677
571, 0.04677
572, 0.04677
573, 0.04677
574, 0.04677
575, 0.04677
576, 0.04677
577, 0.04677
578, 0.04677
579, 0.04677
580, 0.04677
581, 0.04677
582, 0.04677
583, 0.04677
584, 0.04677
585, 0.04677
586, 0.04677
587, 0.04677
588, 0.04677
589, 0.04677
590, 0.04677
591, 0.04677
592, 0.04677
593, 0.04677
594, 0.04677
595, 0.04677
596, 0.04677
597, 0.04677
598, 0.04677
599, 0.04677
600, 0.04677
601, 0.04677
602, 0.04677
603, 0.04677
604, 0.04677
605, 0.04677
606, 0.04677
607, 0.04677
608, 0.04677
609, 0.04677
610, 0.04677
611, 0.04677
612, 0.04677
613, 0.04677
614, 0.04677
615, 0.04677
616, 0.04677
617, 0.04677
618, 0.04677
619, 0.04677
620, 0.04677
621, 0.04677
622, 0.04677
623, 0.04677
624, 0.04677
625, 0.04677
626, 0.04677
627, 0.04677
628, 0.04677
629, 0.04677
630, 0.04677
631, 0.04677
632, 0.04677
633, 0.04677
634, 0.04677
635, 0.04677
636, 0.04677
637, 0.04677
638, 0.04677
639, 0.04677
640, 0.04677
641, 0.04677
642, 0.04677
643, 0.04677
644, 0.04677
645, 0.04677
646, 0.04677
647, 0.04677
648, 0.04677
649, 0.04677
650, 0.04677
651, 0.04677
652, 0.04677
653, 0.04677
654, 0.04677
655, 0.04677
656, 0.04677
657, 0.04677
658, 0.04677
659, 0.04677
660, 0.04677
661, 0.04677
662, 0.04677
663, 0.04677
664, 0.04677
665, 0.04677
666, 0.04677
667, 0.04677
668, 0.04677
669, 0.04677
670, 0.04677
671, 0.04677
672, 0.04677
673, 0.04677
674, 0.04677
675, 0.04677
676, 0.04677
677, 0.04677
678, 0.04677
679, 0.04677
680, 0.04677
681, 0.04677
682, 0.04677
683, 0.04677
684, 0.04677
685, 0.04677
686, 0.04677
687, 0.04677
688, 0.04677
689, 0.04677
690, 0.04677
691, 0.04677
692, 0.04677
693, 0.04677
694, 0.04677
695, 0.04677
696, 0.04677
697, 0.04677
698, 0.04677
699, 0.04677
700, 0.04677
701, 0.04677
702, 0.04677
703, 0.04677
704, 0.04677
705, 0.04677
706, 0.04677
707, 0.04677
708, 0.04677
709, 0.04677
710, 0.04677
711, 0.04677
712, 0.04677
713, 0.04677
714, 0.04677
715, 0.04677
716, 0.04677
717, 0.04677
718, 0.04677
719, 0.04677
720, 0.04677
721, 0.04677
722, 0.04677
723, 0.04677
724, 0.04677
725, 0.04677
726, 0.04677
727, 0.04677
728, 0.04677
729, 0.04677
730, 0.04677
731, 0.04677
732, 0.04677
733, 0.04677
734, 0.04677
735, 0.04677
736, 0.04677
737, 0.04677
738, 0.04677
739, 0.04677
740, 0.04677
741, 0.04677
742, 0.04677
743, 0.04677
744, 0.04677
745, 0.04677
746, 0.04677
747, 0.04677
748, 0.04677
749, 0.04677
750, 0.04677
751, 0.04677
752, 0.04677
753, 0.04677
754, 0.04677
755, 0.04677
756, 0.04677
757, 0.04677
758, 0.04677
759, 0.04677
760, 0.04677
761, 0.04677
762, 0.04677
763, 0.04677
764, 0.04677
765, 0.04677
766, 0.04677
767, 0.04677
768, 0.04677
769, 0.04677
770, 0.04677
771, 0.04677
772, 0.04677
773, 0.04677
774, 0.04677
775, 0.04677
776, 0.04677
777, 0.04677
778, 0.04677
779, 0.04677
780, 0.04677
781, 0.04677
782, 0.04677
783, 0.04677
784, 0.04677
785, 0.04677
786, 0.04677
787, 0.04677
788, 0.04677
789, 0.04677
790, 0.04677
791, 0.04677
792, 0.04677
793, 0.04677
794, 0.04677
795, 0.04677
796, 0.04677
797, 0.04677
798, 0.04677
799, 0.04677
800, 0.04677
801, 0.04677
802, 0.04677
803, 0.04677
804, 0.04677
805, 0.04677
806, 0.04677
807, 0.04677
808, 0.04677
809, 0.04677
810, 0.04677
811, 0.04677
812, 0.04677
813, 0.04677
814, 0.04677
815, 0.04677
816, 0.04677
817, 0.04677
818, 0.04677
819, 0.04677
820, 0.04677
821, 0.04677
822, 0.04677
823, 0.04677
824, 0.04677
825, 0.04677
826, 0.04677
827, 0.04677
828, 0.04677
829, 0.04677
830, 0.04677
831, 0.04677
832, 0.04677
833, 0.04677
834, 0.04677
835, 0.04677
836, 0.04677
837, 0.04677
838, 0.04677
839, 0.04677
840, 0.04677
841, 0.04677
842, 0.04677
843, 0.04677
844, 0.04677
845, 0.04677
846, 0.04677
847, 0.04677
848, 0.04677
849, 0.04677
850, 0.04677
851, 0.04677
852, 0.04677
853, 0.04677
854, 0.04677
855, 0.04677
856, 0.04677
857, 0.04677
858, 0.04677
859, 0.04677
860, 0.04677
861, 0.04677
862, 0.04677
863, 0.04677
864, 0.04677
865, 0.04677
866, 0.04677
867, 0.04677
868, 0.04677
869, 0.04677
870, 0.04677
871, 0.04677
872, 0.04677
873, 0.04677
874, 0.04677
875, 0.04677
876, 0.04677
877, 0.04677
878, 0.04677
879, 0.04677
880, 0.04677
881, 0.04677
882, 0.04677
883, 0.04677
884, 0.04677
885, 0.04677
886, 0.04677
887, 0.04677
888, 0.04677
889, 0.04677
890, 0.04677
891, 0.04677
892, 0.04677
893, 0.04677
894, 0.04677
895, 0.04677
896, 0.04677
897, 0.04677
898, 0.04677
899, 0.04677
