T, DemandHome
1, 0.38836
2, 0.3574025
3, 0.307125
4, 0.2744035
5, 0.2634835
6, 0.273539
7, 0.28791
8, 0.3130295
9, 0.3447605
10, 0.397082
11, 0.4620595
12, 0.538615
13, 0.5898025
14, 0.5970755
15, 0.596785
16, 0.624176
17, 0.6947395
18, 0.7426755
19, 0.763161
20, 0.757701
21, 0.697284
22, 0.6103265
23, 0.533288
24, 0.434665
25, 0.3292695
26, 0.275842
27, 0.2390955
28, 0.2198
29, 0.229187
30, 0.2627205
31, 0.3193575
32, 0.3754135
33, 0.4023425
34, 0.407225
35, 0.411425
36, 0.435554
37, 0.456134
38, 0.458542
39, 0.469161
40, 0.5087635
41, 0.600761
42, 0.684432
43, 0.7254905
44, 0.7373625
45, 0.7008855
46, 0.639527
47, 0.5538995
48, 0.438431
49, 0.3319925
50, 0.2754815
51, 0.237951
52, 0.219107
53, 0.228606
54, 0.262101
55, 0.3188465
56, 0.3791375
57, 0.405237
58, 0.41139
59, 0.4139135
60, 0.4355995
61, 0.4544785
62, 0.4562425
63, 0.467719
64, 0.505911
65, 0.593537
66, 0.676578
67, 0.7200935
68, 0.733173
69, 0.699279
70, 0.6340845
71, 0.5502385
72, 0.4376225
73, 0.334096
74, 0.2789885
75, 0.2406285
76, 0.2198595
77, 0.228193
78, 0.262472
79, 0.3166975
80, 0.378504
81, 0.4096085
82, 0.421645
83, 0.43295
84, 0.458388
85, 0.475552
86, 0.4819045
87, 0.4970455
88, 0.536809
89, 0.623021
90, 0.6904905
91, 0.714791
92, 0.7135345
93, 0.6706805
94, 0.5956405
95, 0.519393
96, 0.4343745
97, 0.3448095
98, 0.295071
99, 0.263655
100, 0.2520385
101, 0.2520735
102, 0.2563365
103, 0.255913
104, 0.307986
105, 0.429667
106, 0.530117
107, 0.591031
108, 0.6359955
109, 0.646296
110, 0.619682
111, 0.6020385
112, 0.6165985
113, 0.6798225
114, 0.736456
115, 0.7610715
116, 0.744212
117, 0.68481
118, 0.595434
119, 0.508669
120, 0.4214105
121, 0.332304
122, 0.2893135
123, 0.2710995
124, 0.2711835
125, 0.281162
126, 0.2903215
127, 0.307391
128, 0.358743
129, 0.449071
130, 0.5392765
131, 0.610246
132, 0.677257
133, 0.695618
134, 0.656656
135, 0.6285405
136, 0.6332865
137, 0.6999545
138, 0.785498
139, 0.816641
140, 0.8057
141, 0.741825
142, 0.661822
143, 0.569093
144, 0.438634
145, 0.3258605
146, 0.2706795
147, 0.2385495
148, 0.2207835
149, 0.2327325
150, 0.278586
151, 0.3658445
152, 0.4362995
153, 0.4376085
154, 0.4198005
155, 0.4065425
156, 0.4176585
157, 0.4285785
158, 0.4290545
159, 0.448301
160, 0.4865
161, 0.582778
162, 0.685069
163, 0.73227
164, 0.747768
165, 0.7161455
166, 0.6524245
167, 0.559657
168, 0.430248
169, 0.3264625
170, 0.2723735
171, 0.2443315
172, 0.227794
173, 0.2378355
174, 0.279265
175, 0.358862
176, 0.429044
177, 0.4358795
178, 0.420574
179, 0.4024615
180, 0.412146
181, 0.424466
182, 0.4245675
183, 0.4407865
184, 0.478499
185, 0.5752215
186, 0.6751955
187, 0.7224
188, 0.7369635
189, 0.7087815
190, 0.6482735
191, 0.555436
192, 0.428162
193, 0.3221855
194, 0.2707705
195, 0.24101
196, 0.224217
197, 0.235347
198, 0.2767975
199, 0.3595655
200, 0.4299645
201, 0.4363835
202, 0.4199615
203, 0.404236
204, 0.417508
205, 0.4308675
206, 0.433342
207, 0.451871
208, 0.4921035
209, 0.5810875
210, 0.6792835
211, 0.7230545
212, 0.7333795
213, 0.70217
214, 0.644
215, 0.555667
216, 0.4299645
217, 0.326445
218, 0.2716385
219, 0.240618
220, 0.2241295
221, 0.235599
222, 0.276934
223, 0.359282
224, 0.4337445
225, 0.4405135
226, 0.4263105
227, 0.409395
228, 0.4201365
229, 0.4320365
230, 0.433566
231, 0.452375
232, 0.491183
233, 0.5759425
234, 0.6737185
235, 0.719845
236, 0.7305095
237, 0.7019355
238, 0.639478
239, 0.552531
240, 0.4296845
241, 0.328986
242, 0.276255
243, 0.2445485
244, 0.225911
245, 0.2359455
246, 0.277865
247, 0.357917
248, 0.433923
249, 0.4447905
250, 0.435883
251, 0.4277805
252, 0.442673
253, 0.4530785
254, 0.459529
255, 0.482244
256, 0.522375
257, 0.6047475
258, 0.6869835
259, 0.7144935
260, 0.711095
261, 0.673673
262, 0.6015345
263, 0.5236035
264, 0.4279485
265, 0.3403505
266, 0.2924915
267, 0.2673965
268, 0.257467
269, 0.2590525
270, 0.271271
271, 0.2970695
272, 0.364546
273, 0.4664415
274, 0.5456535
275, 0.5871565
276, 0.621243
277, 0.6237245
278, 0.596911
279, 0.5871215
280, 0.6026405
281, 0.6617975
282, 0.734895
283, 0.7641375
284, 0.7448455
285, 0.689724
286, 0.6015695
287, 0.510846
288, 0.412356
289, 0.32998
290, 0.2885645
291, 0.270816
292, 0.270144
293, 0.2794925
294, 0.288589
295, 0.3064705
296, 0.3594045
297, 0.449883
298, 0.5392905
299, 0.6096475
300, 0.6758815
301, 0.6935565
302, 0.65485
303, 0.625793
304, 0.62762
305, 0.686644
306, 0.7763
307, 0.8186185
308, 0.8090845
309, 0.7378525
310, 0.655886
311, 0.5649945
312, 0.4364675
313, 0.3253005
314, 0.270613
315, 0.2380805
316, 0.219597
317, 0.2309405
318, 0.2766015
319, 0.364819
320, 0.43568
321, 0.436751
322, 0.419874
323, 0.407099
324, 0.4183445
325, 0.4291735
326, 0.4293065
327, 0.447307
328, 0.4811065
329, 0.5693975
330, 0.675052
331, 0.732879
332, 0.7498925
333, 0.712719
334, 0.648046
335, 0.556612
336, 0.428701
337, 0.3266235
338, 0.2731575
339, 0.244748
340, 0.2278885
341, 0.237419
342, 0.278131
343, 0.3583055
344, 0.428799
345, 0.435288
346, 0.4210955
347, 0.4037355
348, 0.413602
349, 0.425796
350, 0.425796
351, 0.441049
352, 0.474516
353, 0.5641615
354, 0.667289
355, 0.723989
356, 0.7392945
357, 0.7056175
358, 0.643902
359, 0.553378
360, 0.428442
361, 0.323673
362, 0.2732135
363, 0.2431695
364, 0.226058
365, 0.2365405
366, 0.277067
367, 0.360241
368, 0.430528
369, 0.4362575
370, 0.4204515
371, 0.4053665
372, 0.4185265
373, 0.4312525
374, 0.433006
375, 0.45017
376, 0.4857405
377, 0.567084
378, 0.66913
379, 0.723625
380, 0.7362775
381, 0.6992055
382, 0.6395655
383, 0.5534445
384, 0.429996
385, 0.3283175
386, 0.274344
387, 0.2426515
388, 0.22575
389, 0.236698
390, 0.277067
391, 0.3594885
392, 0.433524
393, 0.440657
394, 0.4277105
395, 0.411572
396, 0.4221385
397, 0.4339055
398, 0.434511
399, 0.451437
400, 0.4854605
401, 0.5627825
402, 0.6646255
403, 0.7213465
404, 0.733593
405, 0.69944
406, 0.6355265
407, 0.550438
408, 0.4301465
409, 0.330561
410, 0.278999
411, 0.2465575
412, 0.2273915
413, 0.2368135
414, 0.277662
415, 0.358057
416, 0.4337935
417, 0.4442865
418, 0.4361105
419, 0.428603
420, 0.44359
421, 0.4541075
422, 0.460285
423, 0.4815335
424, 0.5167435
425, 0.5906495
426, 0.6769105
427, 0.715729
428, 0.713951
429, 0.671265
430, 0.598262
431, 0.523236
432, 0.429737
433, 0.3413165
434, 0.2939195
435, 0.267638
436, 0.2567845
437, 0.2582265
438, 0.270123
439, 0.296695
440, 0.3657885
441, 0.4677995
442, 0.5467455
443, 0.5882905
444, 0.6217645
445, 0.6231995
446, 0.5957595
447, 0.584836
448, 0.5961445
449, 0.6468315
450, 0.7257215
451, 0.767809
452, 0.749833
453, 0.6882925
454, 0.597828
455, 0.5080495
456, 0.4114845
457, 0.3293745
458, 0.2887815
459, 0.2712325
460, 0.2703575
461, 0.2798005
462, 0.2891175
463, 0.30779
464, 0.36267
465, 0.45381
466, 0.542234
467, 0.611527
468, 0.67648
469, 0.692839
470, 0.6539085
471, 0.623651
472, 0.622286
473, 0.6728925
474, 0.766234
475, 0.821765
476, 0.8140125
477, 0.735014
478, 0.65023
479, 0.561141
480, 0.4344025
481, 0.3255385
482, 0.2716945
483, 0.239099
484, 0.2201675
485, 0.23086
