T, P
1, 0.22335
2, 0.22038
3, 0.21782
4, 0.20942
5, 0.21133
6, 0.21414
7, 0.20925
8, 0.21327
9, 0.22126
10, 0.22147
11, 0.22156
12, 0.22357
13, 0.23053
14, 0.22673
15, 0.22338
16, 0.22399
17, 0.2372
18, 0.24556
19, 0.24644
20, 0.24638
21, 0.24562
22, 0.24291
23, 0.24397
24, 0.23436
25, 0.23293
26, 0.22424
27, 0.22577
28, 0.22113
29, 0.22131
30, 0.2298
31, 0.24035
32, 0.2537
33, 0.26004
34, 0.2613
35, 0.25643
36, 0.25425
37, 0.25023
38, 0.25103
39, 0.24817
40, 0.25182
41, 0.25888
42, 0.26615
43, 0.26921
44, 0.26642
45, 0.25816
46, 0.24717
47, 0.24931
48, 0.24353
49, 0.23439
50, 0.22939
51, 0.22386
52, 0.22331
53, 0.22324
54, 0.22731
55, 0.23744
56, 0.24515
57, 0.2457
58, 0.24584
59, 0.2484
60, 0.24841
61, 0.25119
62, 0.24929
63, 0.24742
64, 0.24722
65, 0.25741
66, 0.26326
67, 0.25816
68, 0.2518
69, 0.24923
70, 0.2453
71, 0.24407
72, 0.23743
73, 0.22286
74, 0.22123
75, 0.21882
76, 0.22036
77, 0.22007
78, 0.22726
79, 0.24339
80, 0.24625
81, 0.24937
82, 0.24941
83, 0.24966
84, 0.25187
85, 0.25124
86, 0.24654
87, 0.24516
88, 0.24541
89, 0.24611
90, 0.25125
91, 0.2513
92, 0.25441
93, 0.25124
94, 0.24475
95, 0.24535
96, 0.24133
97, 0.23229
98, 0.22722
99, 0.22716
100, 0.22231
101, 0.22369
102, 0.22706
103, 0.22666
104, 0.23208
105, 0.24191
106, 0.24732
107, 0.25035
108, 0.25084
109, 0.24774
110, 0.24546
111, 0.24547
112, 0.24659
113, 0.24838
114, 0.25706
115, 0.26431
116, 0.26124
117, 0.25009
118, 0.24609
119, 0.24939
120, 0.24563
121, 0.2421
122, 0.24134
123, 0.23236
124, 0.22388
125, 0.22575
126, 0.22465
127, 0.22169
128, 0.22546
129, 0.2293
130, 0.23919
131, 0.24429
132, 0.2453
133, 0.24527
134, 0.24419
135, 0.2392
136, 0.23351
137, 0.23608
138, 0.24668
139, 0.24937
140, 0.24765
141, 0.24724
142, 0.24538
143, 0.24618
144, 0.24388
145, 0.24428
146, 0.24291
147, 0.24244
148, 0.23508
149, 0.2268
150, 0.23922
151, 0.25587
152, 0.27131
153, 0.27306
154, 0.27426
155, 0.27351
156, 0.27332
157, 0.27284
158, 0.27197
159, 0.27195
160, 0.27028
161, 0.27016
162, 0.28079
163, 0.28083
164, 0.27429
165, 0.26926
166, 0.26239
167, 0.25862
168, 0.24575
169, 0.24476
170, 0.24433
171, 0.24415
172, 0.24416
173, 0.24453
174, 0.24558
175, 0.2534
176, 0.27212
177, 0.27058
178, 0.26972
179, 0.26899
180, 0.27289
181, 0.27012
182, 0.26922
183, 0.26918
184, 0.26867
185, 0.26904
186, 0.27824
187, 0.28907
188, 0.27546
189, 0.26989
190, 0.2653
191, 0.25434
192, 0.24544
193, 0.24619
194, 0.24522
195, 0.24472
196, 0.24505
197, 0.24523
198, 0.24666
199, 0.25128
200, 0.27161
201, 0.27441
202, 0.27422
203, 0.27341
204, 0.27358
205, 0.2719
206, 0.27135
207, 0.27126
208, 0.27067
209, 0.2712
210, 0.27543
211, 0.27438
212, 0.26942
213, 0.2653
214, 0.24799
215, 0.24608
216, 0.24449
217, 0.24421
218, 0.2437
219, 0.24229
220, 0.24258
